,Costal,Blue,Green,Red,NIR,SWIR1,SWIR2,Longitude,Latitude,Target,Prediction
8423,10165.0,9243.0,8865.0,8195.0,17837.0,11105.0,7513.0,-72.09371248540083,1.404672056311539,coca,cana
8499,10563.0,9757.0,9442.0,8821.0,19629.0,14975.0,9576.0,-72.56880742572864,1.8324494816332428,coca,cana
8555,12132.0,11228.0,10841.0,11218.0,9985.0,6207.0,5615.0,-75.46269140240713,0.44348467056787466,coca,cana
8675,10576.0,9831.0,9802.0,8811.0,8903.0,5285.0,5078.0,-71.85236953676667,1.5337625576046712,coca,cana
8691,10705.0,9756.0,8568.0,8089.0,6381.0,7072.0,7683.0,-71.69486001040835,1.3377520856217984,coca,cana
8729,10222.0,9283.0,8991.0,8164.0,22017.0,14591.0,9406.0,-72.45982301470944,2.000273735995882,coca,cana
8762,10356.0,9499.0,9244.0,8835.0,19029.0,12992.0,8620.0,-72.54829475573584,2.0414909017861316,coca,cana
8763,10903.0,10076.0,9911.0,9280.0,20588.0,17079.0,10942.0,-75.85335778045774,1.2057800427593397,coca,cana
8856,9683.0,8645.0,8258.0,6972.0,19763.0,11304.0,7369.0,-71.84910687598972,1.461399379471051,coca,cana
8894,11018.0,10100.0,8776.0,8278.0,3948.0,8770.0,10861.0,-72.47403030327277,2.1337021279697783,coca,cana
9072,10761.0,10013.0,9534.0,9654.0,17102.0,16394.0,11317.0,-72.72512209804553,1.9374755765088867,coca,cana
9100,36011.0,37127.0,36164.0,37916.0,42692.0,29168.0,19178.0,-71.51719042184092,2.2014463129687116,coca,cana
9147,10772.0,9954.0,9543.0,9255.0,17148.0,15385.0,10374.0,-72.61517365109086,1.9228152698320589,coca,cana
9268,12035.0,11155.0,10705.0,10918.0,7987.0,5295.0,5068.0,-75.6004696502862,0.58582620549532,coca,cana
9389,11511.0,10560.0,9605.0,9361.0,12711.0,13548.0,11482.0,-75.26697700848453,0.812213164997968,coca,cana
